#Sensor Monitor 1.0#Sensor data: Acceleration
#Tue May 18 18:42:54 GMT+08:00 2021

#X(m/s²)	Y(m/s²)	Z(m/s²)
-7.104650020599365	-4.446971416473389	3.8847455978393555
-6.662919998168945	-4.661319255828857	3.6920313835144043
-6.764941215515137	-4.602622985839844	2.3974099159240723
-7.3301262855529785	-5.2147536277771	4.33307409286499
-7.577906608581543	-4.760554313659668	3.5310165882110596
-6.983091354370117	-6.329263687133789	3.748065233230591
-7.106698989868164	-5.908066272735596	2.01680850982666
-5.270873546600342	-6.773570537567139	1.733651041984558
-6.286953449249268	-7.384599208831787	1.8133203983306885
-7.880084037780762	-7.546725273132324	2.120055913925171
-10.32034969329834	-6.797942638397217	3.0015532970428467
-11.77078628540039	-5.451912879943848	3.194382429122925
-11.813977241516113	-5.0131330490112305	3.9166266918182373
-11.706985473632812	-6.371756076812744	2.626649856567383
-10.165943145751953	-5.461394309997559	1.3678745031356812
-8.59938907623291	-8.086339950561523	0.45308831334114075
-7.677831649780273	-8.794832229614258	0.19401653110980988
-6.076742649078369	-7.730513095855713	0.52803635597229
-5.362714767456055	-7.740348815917969	0.9744879603385925
-3.7554585933685303	-8.180039405822754	0.22714270651340485
-3.552861213684082	-9.560564041137695	-0.5978225469589233
-6.586315155029297	-9.439168930053711	-0.1776401847600937
-6.815430164337158	-9.153694152832031	1.3163703680038452
-9.373108863830566	-7.8870368003845215	2.124767780303955
-8.820871353149414	-8.304729461669922	-0.1452227085828781
-6.401233196258545	-4.68840217590332	0.5766770243644714
-4.586160182952881	-4.207273006439209	0.10853394865989685
-6.090935707092285	-3.9079883098602295	-2.235130786895752
-9.546697616577148	-6.491523265838623	0.6101670861244202
-11.237396240234375	-7.409900665283203	0.6330940127372742
-9.995179176330566	-7.92294979095459	1.5355931520462036
-11.203312873840332	-6.375433444976807	0.2267596274614334
-11.29736614227295	-4.781125068664551	1.364129900932312
-9.109238624572754	-7.31230354309082	0.6658753752708435
-7.422571182250977	-5.99112606048584	0.8625351190567017
-4.85618782043457	-4.860928535461426	0.986976146697998
-3.8730905055999756	-5.265462398529053	0.36010709404945374
-4.093251705169678	-6.72002649307251	0.564169704914093
-5.335315704345703	-9.024272918701172	-0.18087714910507202
-6.086970806121826	-10.785150527954102	0.7489445805549622
-7.568914413452148	-10.923468589782715	1.3371903896331787
-6.815784454345703	-11.360276222229004	-0.45413216948509216
-8.072233200073242	-8.47094440460205	-0.9549321532249451
-6.132929801940918	-5.676202297210693	-2.816950798034668
-4.753496170043945	-4.885655879974365	-2.086824417114258
-6.031942367553711	-4.067844390869141	-1.083012342453003
-7.528059482574463	-5.574132442474365	0.031699229031801224
-12.469289779663086	-7.545164108276367	0.6058383584022522
-12.765079498291016	-8.072108268737793	1.2135441303253174
-13.64272689819336	-4.886690139770508	0.5354680418968201
-10.802053451538086	-11.344167709350586	1.0178134441375732
-7.429140567779541	-10.544082641601562	2.121368169784546
-5.108939170837402	-8.046892166137695	2.508012533187866
-3.5873570442199707	-7.047361373901367	0.6416460275650024
-3.332364797592163	-7.225327014923096	-0.5211123824119568
-4.558416366577148	-7.971398830413818	-0.533351480960846
-6.09711217880249	-10.682668685913086	0.0360279455780983
-7.351999282836914	-10.123441696166992	-0.0026144683361053467
-7.9641008377075195	-8.381017684936523	1.162346601486206
-9.676233291625977	-8.413751602172852	-1.0958548784255981
-7.658610820770264	-7.7784833908081055	0.0161177646368742
-7.226754188537598	-6.165777683258057	-0.4230554401874542
-7.640960216522217	-5.151709079742432	-1.1624807119369507
-9.297030448913574	-4.210663795471191	-1.0814129114151
-11.05741024017334	-6.193770885467529	-1.2374862432479858
-11.966852188110352	-8.243064880371094	0.3598102033138275
-9.481613159179688	-7.190352439880371	1.4192348718643188
-9.168729782104492	-8.64423656463623	1.3148572444915771
-7.944324970245361	-9.660977363586426	2.698150396347046
-6.04031229019165	-8.38989543914795	3.683709144592285
-5.129711627960205	-8.073583602905273	1.6228666305541992
-4.99388313293457	-8.42057991027832	0.2905028760433197
-4.512016773223877	-9.436171531677246	0.8299643397331238
-4.007558345794678	-11.470993995666504	0.13645035028457642
-4.22208833694458	-12.259567260742188	-0.25289472937583923
-6.257744312286377	-10.942354202270508	1.9413241147994995
-8.426230430603027	-9.926321983337402	0.24512794613838196
-7.250504970550537	-6.940886497497559	-1.0701507329940796
-7.465551853179932	-4.388092994689941	-0.26240450143814087
-7.4433722496032715	-4.020496845245361	-1.1046558618545532
-9.418167114257812	-4.9656219482421875	-0.29403671622276306
-11.920692443847656	-7.735742092132568	1.027945637702942
-12.281488418579102	-9.57730484008789	1.856760859489441
-9.594562530517578	-8.057666778564453	1.8412081003189087
-9.692427635192871	-9.94521713256836	2.344881057739258
-7.462640762329102	-11.13802719116211	3.8799188137054443
-5.005346775054932	-8.055387496948242	3.4271559715270996
-4.102733135223389	-7.0388288497924805	0.6403436064720154
-3.4859960079193115	-7.662067890167236	-0.1010640412569046
-4.174482345581055	-10.60747241973877	-0.6871742010116577
-4.60846471786499	-10.933792114257812	1.2127493619918823
-6.2871928215026855	-11.878649711608887	0.7828848361968994
-9.415428161621094	-10.836291313171387	1.0382695198059082
-8.759033203125	-8.30224895477295	-0.7748498320579529
-6.469008445739746	-5.335306167602539	-0.6341091394424438
-5.639915466308594	-4.55070686340332	-1.710599660873413
-7.137229919433594	-5.030811309814453	-1.5670241117477417
-11.280913352966309	-6.180239200592041	-0.6112205386161804
-12.868058204650879	-8.891087532043457	-0.1926278918981552
-12.088802337646484	-7.577878475189209	0.8507173657417297
-10.571779251098633	-7.550316333770752	1.143853783607483
-9.172531127929688	-10.228469848632812	0.9200725555419922
-7.1127519607543945	-10.091665267944336	1.745669960975647
-4.948134899139404	-7.510744571685791	2.2000415325164795
-4.406518459320068	-7.991433620452881	1.039811372756958
-4.349699020385742	-7.576470375061035	0.3201909363269806
-4.662813186645508	-9.92837142944336	0.09140104800462723
-4.555514812469482	-13.195815086364746	0.31049925088882446
-5.31013822555542	-12.090249061584473	1.4264652729034424
-9.312007904052734	-10.634210586547852	0.09103712439537048
-7.5403852462768555	-7.041625022888184	-1.7698513269424438
-7.028121471405029	-5.021675109863281	-1.043364405632019
-6.994114398956299	-4.3734211921691895	-1.937723159790039
-9.33889102935791	-5.849015712738037	-0.22721931338310242
-11.774866104125977	-6.813984394073486	0.11454818397760391
