#Sensor Monitor 1.0#Sensor data: Acceleration
#Tue May 18 14:46:40 GMT+08:00 2021

#X(m/s²)	Y(m/s²)	Z(m/s²)
-0.23099258542060852	1.9792290925979614	9.211499214172363
-0.250098317861557	2.104321241378784	8.45186710357666
0.38629963994026184	2.027496099472046	7.6053924560546875
0.2785031199455261	2.4888014793395996	8.635157585144043
-0.8854236602783203	3.114358425140381	7.4831156730651855
-1.3900830745697021	1.6745716333389282	7.101000785827637
-2.0574429035186768	1.698983073234558	6.132086753845215
-2.8718738555908203	1.4095814228057861	2.6296379566192627
-6.43910026550293	-0.21388839185237885	4.367588996887207
-7.311882495880127	-2.816711187362671	9.68764877319336
-13.942988395690918	-4.254055500030518	8.774385452270508
-10.924397468566895	-6.247535228729248	8.05334758758545
-11.799697875976562	-8.243160247802734	3.674304723739624
-10.861994743347168	-7.950923442840576	6.086443901062012
-9.83423137664795	-5.840434551239014	3.4828929901123047
-9.449167251586914	-5.516518592834473	2.744138240814209
-6.917720317840576	-3.5706071853637695	1.486119270324707
-5.642931938171387	-3.6232123374938965	0.19473478198051453
-6.886739253997803	-5.576076507568359	-0.7709808349609375
-10.976255416870117	-7.702788352966309	-0.5309190154075623
-11.073307991027832	-12.930039405822754	-0.899616539478302
-10.996261596679688	-8.019991874694824	1.2602120637893677
-10.445164680480957	-6.69140100479126	-0.4052138328552246
-7.3226470947265625	-5.030246734619141	1.3823641538619995
-4.1967387199401855	-8.332185745239258	-0.34996524453163147
-6.2203369140625	-6.315502166748047	-0.37350502610206604
-4.236693382263184	-5.413328170776367	0.4033846855163574
-2.981642961502075	-3.4484164714813232	1.6229526996612549
-4.450916290283203	-4.040157794952393	0.2671833336353302
-4.738441467285156	-10.432398796081543	-1.421600341796875
-10.780716896057129	-14.092855453491211	-0.8040112257003784
-12.443039894104004	-14.833869934082031	0.5358989238739014
-11.701459884643555	-8.594541549682617	0.2602880299091339
-4.476841449737549	-6.2060770988464355	-0.5139105916023254
-4.38578462600708	-5.793431758880615	-1.0172101259231567
-4.2314066886901855	-6.318480491638184	-1.6316006183624268
-2.6921839714050293	-4.425882816314697	-1.364311933517456
-3.718597412109375	-3.8541572093963623	-1.171655297279358
-5.7149882316589355	-5.743478775024414	-0.6297420859336853
-8.6102294921875	-7.436208724975586	-1.1346791982650757
-9.10932445526123	-8.190285682678223	-0.38144421577453613
-9.205255508422852	-6.421354293823242	-0.8564633727073669
-10.257478713989258	-7.237154960632324	-1.026403784751892
-9.03945255279541	-7.386792182922363	1.2217323780059814
-6.883176803588867	-9.45079517364502	-0.8738453388214111
-5.803382396697998	-5.1772027015686035	0.4429655969142914
-4.148423671722412	-3.989429473876953	0.8250323534011841
-4.663205623626709	-4.87800407409668	-0.058025870472192764
-7.032172679901123	-10.289867401123047	-1.1300344467163086
-9.362123489379883	-14.468035697937012	0.1605551540851593
-7.642272472381592	-10.2269287109375	0.271971732378006
-6.0729594230651855	-8.947208404541016	0.3780157268047333
-4.476879596710205	-6.756226539611816	-0.9682822227478027
-2.5023140907287598	-4.691706657409668	-0.32976776361465454
-3.255099058151245	-2.2942965030670166	0.41839152574539185
-4.618692874908447	-2.870532989501953	-0.6834679841995239
-7.817375183105469	-8.15390396118164	-0.5738422870635986
-14.035125732421875	-12.165964126586914	-0.5862059593200684
-12.413188934326172	-12.11719799041748	0.6645441651344299
-10.87512493133545	-6.107991695404053	1.3743866682052612
-7.731700897216797	-4.2826714515686035	-0.42159977555274963
-6.525195598602295	-6.02772855758667	1.0114831924438477
-6.224790573120117	-6.694934844970703	0.3820379674434662
-6.8593974113464355	-6.561836242675781	1.2913174629211426
-4.636457920074463	-4.900537967681885	1.1125184297561646
-3.9895637035369873	-4.171761989593506	1.1661677360534668
-4.015181541442871	-5.082823276519775	0.22335028648376465
-5.406327724456787	-10.195871353149414	-0.4326322376728058
-7.717795372009277	-14.044378280639648	1.0435367822647095
-10.239531517028809	-14.797679901123047	0.19331742823123932
-10.93819808959961	-10.550864219665527	-1.7013674974441528
-7.277099609375	-6.4812188148498535	-1.4895286560058594
-4.269455432891846	-6.5315446853637695	-1.0587447881698608
-5.078005790710449	-6.426209926605225	-0.4238598942756653
-4.350915431976318	-4.361296653747559	0.23112665116786957
-3.2455320358276367	-3.7155330181121826	-0.9087623357772827
-4.502554893493652	-3.486647129058838	-1.6465882062911987
-7.793979167938232	-7.472571849822998	-1.6365039348602295
-11.919044494628906	-12.104259490966797	-2.7897238731384277
