#Sensor Monitor 1.0#Sensor data: Acceleration
#Tue May 18 18:18:15 GMT+08:00 2021

#X(m/s²)	Y(m/s²)	Z(m/s²)
1.0592427253723145	-0.006598419509828091	7.614729881286621
-1.4072351455688477	0.0761834979057312	5.750278949737549
-1.6286317110061646	0.5955337285995483	6.129328727722168
-2.286280870437622	-1.538715124130249	6.816608428955078
-4.64044189453125	-1.237323522567749	8.375655174255371
-5.2155961990356445	-1.7414178848266602	7.4429216384887695
-6.7328972816467285	-3.053718090057373	8.139863967895508
-11.64224624633789	-4.4053215980529785	11.12407398223877
-11.809103012084961	-6.267742156982422	6.699924468994141
-11.2747163772583	-4.929086685180664	9.131389617919922
-8.16235065460205	-6.3590192794799805	1.357866644859314
-8.714615821838379	-3.337766170501709	5.145349979400635
-7.549492835998535	-6.034901142120361	2.1136491298675537
-6.896057605743408	-3.451385498046875	2.4348456859588623
-5.401395320892334	-4.243492603302002	0.5604634284973145
-7.37216854095459	-5.052780628204346	0.43489235639572144
-8.400909423828125	-6.8246049880981445	0.18313728272914886
-8.384264945983887	-7.048098564147949	1.6125235557556152
-9.51179027557373	-9.458274841308594	1.4099358320236206
-8.71264362335205	-6.916092395782471	2.855966567993164
-7.3775410652160645	-6.22322940826416	1.9887197017669678
-5.111975193023682	-3.9297468662261963	1.9171713590621948
-4.775781154632568	-3.90358304977417	1.3609696626663208
-6.635329246520996	-6.781739234924316	-0.6275777220726013
-7.969080924987793	-13.425552368164062	0.9780601263046265
-11.156347274780273	-12.982540130615234	-0.6700987815856934
-9.63302230834961	-10.580379486083984	0.8463694453239441
-3.538390636444092	-7.157830238342285	1.7604660987854004
-3.440429449081421	-6.691908836364746	-0.46419739723205566
-3.4436569213867188	-8.401158332824707	-1.203383207321167
-1.9059185981750488	-7.237709999084473	0.026048913598060608
-1.7366390228271484	-5.408626079559326	-1.0629584789276123
-3.536465883255005	-3.8853678703308105	-0.4984440505504608
-4.257225513458252	-5.374264717102051	-0.9562633037567139
-9.122971534729004	-9.61437702178955	-0.5874413251876831
-12.794086456298828	-12.834855079650879	1.7494144439697266
-10.030441284179688	-10.515698432922363	0.5552345514297485
-7.242833614349365	-6.468769073486328	-0.027849353849887848
-6.810852527618408	-6.827764987945557	0.10474153608083725
-6.5876359939575195	-7.583748817443848	-0.13917973637580872
-5.372234344482422	-7.798690319061279	-0.0012928689830005169
-4.353875160217285	-5.790032386779785	0.5110183954238892
-3.447315216064453	-4.477291107177734	0.5436370372772217
-3.3783812522888184	-3.377107620239258	1.0431153774261475
-3.7531888484954834	-5.5794477462768555	-0.035980064421892166
-8.170768737792969	-12.535848617553711	0.6235746741294861
-10.87909984588623	-16.394775390625	0.1384040117263794
-10.974944114685059	-9.398591995239258	2.038911819458008
-7.095839500427246	-6.325605392456055	1.1617240905761719
-4.949514389038086	-5.77904748916626	0.09222465008497238
-3.5991077423095703	-5.775216579437256	-0.2098182588815689
-3.33380126953125	-3.870609998703003	0.12703633308410645
-2.352255344390869	-3.2436835765838623	1.439470648765564
-2.383925676345825	-5.126809597015381	0.45067495107650757
-7.533422946929932	-10.518418312072754	-0.3789829611778259
-13.414060592651367	-13.732614517211914	-1.2415659427642822
-10.11630630493164	-13.619598388671875	-0.052308518439531326
-9.168059349060059	-6.925869941711426	-0.1761845052242279
-6.606368541717529	-5.466240406036377	0.5774239897727966
-7.415972709655762	-6.017548561096191	2.2964704036712646
-6.0522260665893555	-6.634888172149658	1.8937464952468872
-5.048365592956543	-3.2552907466888428	1.498636245727539
-4.579552173614502	-4.242879867553711	1.4923920631408691
-4.155366897583008	-7.182059288024902	0.6725504398345947
-6.420578479766846	-14.869324684143066	-0.1255710870027542
-9.161527633666992	-18.99523162841797	0.41126638650894165
-9.510180473327637	-13.156598091125488	2.466094732284546
-7.340861797332764	-6.546427249908447	1.5048993825912476
-3.7055346965789795	-6.537606716156006	1.3123195171356201
-3.2090060710906982	-5.85462760925293	0.9211451411247253
-2.130897045135498	-3.7938616275787354	0.6968659162521362
