#Sensor Monitor 1.0#Sensor data: Acceleration
#Tue May 18 18:44:01 GMT+08:00 2021

#X(m/s²)	Y(m/s²)	Z(m/s²)
-6.0244245529174805	-7.295525550842285	2.0122787952423096
-5.980696678161621	-7.073803424835205	2.0376954078674316
-6.427809238433838	-7.265741348266602	2.5221381187438965
-6.281848907470703	-7.041021347045898	2.238023281097412
-6.510361194610596	-6.7862114906311035	3.0820653438568115
-6.128140926361084	-7.359067440032959	2.028970956802368
-6.313586235046387	-7.0152506828308105	1.3755167722702026
-6.692780494689941	-7.570417881011963	2.1472063064575195
-6.788835525512695	-7.240669250488281	1.9103623628616333
-6.4844560623168945	-6.196557998657227	1.8912948369979858
-6.704473495483398	-7.973649501800537	1.1338844299316406
-6.762948989868164	-7.597644329071045	0.499229371547699
-6.594982147216797	-6.340726852416992	-0.31480881571769714
-5.506587505340576	-6.0631914138793945	0.2959137558937073
-5.4549970626831055	-6.106698513031006	0.997922420501709
-5.837446689605713	-6.748708724975586	-0.3108535706996918
-7.169053554534912	-8.70975112915039	1.7947319746017456
-8.263279914855957	-11.321518898010254	1.1180156469345093
-5.901228427886963	-7.839056968688965	1.8997607231140137
-5.245791435241699	-8.190611839294434	0.5520550608634949
-4.680252552032471	-9.035353660583496	0.8403456211090088
-3.8852434158325195	-7.935648441314697	0.8553045988082886
-3.964491367340088	-6.5643744468688965	0.6610295176506042
-2.7258846759796143	-8.31576156616211	0.8513780832290649
-4.22370719909668	-9.306127548217773	0.6880935430526733
-6.1362528800964355	-11.336315155029297	0.6432453393936157
-6.286263465881348	-10.30296802520752	1.549556016921997
-3.1653740406036377	-9.465696334838867	1.3591978549957275
-4.321169853210449	-10.248495101928711	-1.6238337755203247
-3.231137990951538	-7.303914546966553	-0.29848992824554443
-2.944437265396118	-5.807337284088135	-1.1587170362472534
-3.5780961513519287	-6.252323627471924	-0.12613612413406372
-3.7033510208129883	-8.138351440429688	0.3799789845943451
-5.947369575500488	-10.846423149108887	-0.025100810453295708
-7.654176712036133	-13.231986045837402	0.504860520362854
-4.982506275177002	-8.363521575927734	0.8814014196395874
-4.096977233886719	-8.306051254272461	-0.9000378847122192
-3.356441020965576	-8.728368759155273	-0.6449979543685913
-2.3021111488342285	-7.0322489738464355	0.4797980487346649
-3.4018828868865967	-6.138321399688721	0.17130033671855927
-4.6216139793396	-8.230422973632812	0.8542990684509277
-5.759166240692139	-10.973316192626953	0.5696859359741211
-7.284933090209961	-9.815710067749023	0.6839851140975952
-5.570436000823975	-9.811026573181152	0.054587800055742264
-5.783491134643555	-8.88162612915039	-0.026929982006549835
-3.6012814044952393	-8.601716041564941	-1.6060304641723633
-2.5047659873962402	-5.097437381744385	-0.9077567458152771
-3.2421607971191406	-5.558311462402344	-1.5694375038146973
-4.62188196182251	-8.357287406921387	0.2822955250740051
-5.407304763793945	-9.933907508850098	0.826564610004425
-8.276630401611328	-11.35208797454834	0.24567383527755737
-6.54406213760376	-10.333393096923828	0.930587887763977
-5.386590003967285	-7.866274356842041	-0.6050147414207458
-4.090407371520996	-9.099757194519043	-0.4616403877735138
-2.5489628314971924	-7.776491641998291	0.3981653153896332
-3.3389346599578857	-7.116228103637695	0.15279795229434967
-3.861358880996704	-7.461510181427002	0.2672503590583801
-4.5782976150512695	-8.751822471618652	0.8876550793647766
-6.88227653503418	-10.018488883972168	0.12953588366508484
-6.73542594909668	-10.957427978515625	0.21812134981155396
-5.2104339599609375	-8.914015769958496	0.8441572189331055
-5.303492069244385	-9.970662117004395	-0.8073440194129944
-3.0576255321502686	-8.23110294342041	-0.637346088886261
-2.867391586303711	-4.971176624298096	-0.8461108803749084
-3.2893266677856445	-6.17048978805542	-0.5593621134757996
-4.5642008781433105	-8.961965560913086	1.37470281124115
-8.000493049621582	-10.102535247802734	-0.219548299908638
-7.434389114379883	-11.665882110595703	0.059232551604509354
-5.909866809844971	-7.070920467376709	0.7228382229804993
-5.091001987457275	-8.138877868652344	-0.42308416962623596
-4.350915431976318	-8.293122291564941	1.6929209232330322
-3.723165512084961	-6.303837299346924	1.5933412313461304
-4.57041597366333	-6.140734672546387	1.1309633255004883
-4.732580184936523	-7.946211814880371	0.6616519689559937
-6.671720504760742	-9.793989181518555	0.8149192333221436
-7.059390068054199	-10.367084503173828	1.7085310220718384
-5.72031307220459	-8.380012512207031	2.03049373626709
-5.937323093414307	-9.676386833190918	0.03405512496829033
-3.8022987842559814	-8.384685516357422	0.4294623136520386
-2.9997241497039795	-5.478690147399902	0.26602452993392944
-3.9655354022979736	-5.762834072113037	-0.2921883761882782
-4.266927242279053	-7.91266393661499	-0.09356539696455002
-6.66640567779541	-9.791518211364746	0.471188485622406
-7.124244213104248	-12.409051895141602	0.09721416234970093
-5.470741271972656	-8.791221618652344	1.1837124824523926
-4.878252983093262	-8.375530242919922	-0.24231235682964325
-4.889735221862793	-8.396628379821777	1.0866323709487915
-3.470184564590454	-6.590107440948486	1.7323964834213257
-4.290754318237305	-6.0421223640441895	0.44037988781929016
-4.50614595413208	-7.391992092132568	1.3244340419769287
-5.925361633300781	-9.1478910446167	0.9318903088569641
-7.524267196655273	-10.891855239868164	0.42251914739608765
-4.4816203117370605	-9.507835388183594	2.1418049335479736
-4.829967021942139	-9.264171600341797	0.27404990792274475
-3.4427950382232666	-9.391983985900879	0.2177574336528778
-2.8828296661376953	-6.951746463775635	-0.02782062254846096
-3.017364501953125	-6.207934856414795	-0.19782809913158417
-4.13735294342041	-7.058642864227295	-0.710522472858429
-6.6189045906066895	-9.044815063476562	-0.09689813107252121
-7.3900675773620605	-12.112648963928223	1.0310677289962769
-5.9985857009887695	-10.148715019226074	1.18549382686615
-5.223333835601807	-8.41556167602539	0.32033461332321167
-4.414381504058838	-8.332740783691406	0.7474314570426941
-3.5942330360412598	-6.36765718460083	1.6570748090744019
-3.2443060874938965	-6.128543376922607	0.8362467885017395
-3.6578423976898193	-7.745405197143555	0.3387891352176666
-5.11473274230957	-10.355870246887207	1.1294695138931274
-6.838740348815918	-10.437580108642578	0.8983715176582336
-6.87409782409668	-9.403725624084473	0.6889075636863708
-5.278735637664795	-8.702549934387207	1.1123079061508179
-4.9601826667785645	-9.555105209350586	-0.6133561134338379
-3.6551320552825928	-6.74436092376709	0.7801554203033447
-3.150367259979248	-5.114675998687744	-0.1783297061920166
-3.6737780570983887	-6.580022811889648	-0.3409343361854553
-5.051209926605225	-8.235363960266113	0.0013790600933134556
-7.4149861335754395	-10.095946311950684	0.22205741703510284
-7.448524475097656	-12.664359092712402	0.500196635723114
-5.5302324295043945	-8.982230186462402	1.4000046253204346
-4.629131317138672	-8.067272186279297	-0.5171092748641968
-3.550112724304199	-6.958958148956299	0.6831710934638977
-3.176358699798584	-5.7519354820251465	1.0350229740142822
-3.5374138355255127	-6.5529680252075195	-0.2876681089401245
-4.429608345031738	-8.832066535949707	0.9868324398994446
-6.458426475524902	-11.3849458694458	0.17286135256290436
-6.608236312866211	-11.48312759399414	1.6226462125778198
-5.631631851196289	-8.475464820861816	1.464571475982666
-5.0579142570495605	-8.829154968261719	-0.6161238551139832
-3.3426599502563477	-7.482541084289551	-0.6115940809249878
-2.897606372833252	-5.5989556312561035	0.024066515266895294
-3.732081651687622	-6.899734973907471	-0.4031739830970764
-6.105673789978027	-8.132596015930176	0.8640386462211609
